Time (sec),Thrust (N),Temperature (°C)
4.516,35.910038,382.23
4.517,35.48837,382.23
4.518,35.699203,382.23
4.519,35.48837,382.23
4.52,35.27753,382.23
4.521,35.0667,382.23
4.522,35.699203,382.23
4.523,35.699203,382.23
4.524,35.27753,382.23
4.525,35.0667,382.23
4.526,35.27753,382.23
4.527,34.85586,382.23
4.527,35.0667,382.23
4.528,35.48837,382.23
4.529,35.910038,382.23
4.53,36.120872,382.23
4.531,36.33171,382.23
4.532,36.964214,382.23
4.533,37.175053,382.23
4.534,36.75338,382.23
4.535,36.33171,382.23
4.536,35.910038,382.23
4.537,35.910038,382.23
4.537,36.33171,382.23
4.538,36.33171,382.23
4.539,35.699203,382.23
4.54,35.48837,382.23
4.541,35.27753,382.23
4.542,35.48837,382.23
4.544,35.27753,382.23
4.545,35.27753,382.23
4.546,35.27753,382.23
4.547,35.0667,382.23
4.548,35.48837,382.23
4.549,34.85586,382.23
4.549,35.0667,382.23
4.55,35.27753,382.23
4.551,35.27753,382.23
4.552,35.27753,382.23
4.553,34.645027,382.23
4.554,34.434193,382.23
4.555,34.85586,382.23
4.556,35.910038,382.23
4.557,35.48837,382.23
4.558,36.33171,382.23
4.559,35.910038,382.23
4.559,35.910038,382.23
4.56,36.120872,382.23
4.561,36.120872,382.23
4.562,35.699203,382.23
4.563,35.699203,382.23
4.564,35.48837,382.23
4.565,35.27753,382.23
4.566,34.85586,382.23
4.567,35.0667,382.23
4.568,35.0667,382.23
4.569,35.0667,382.23
4.57,34.85586,382.23
4.57,34.434193,382.23
4.571,35.0667,382.23
4.572,34.85586,382.23
4.573,34.645027,382.23
4.574,34.645027,382.23
4.575,34.434193,382.23
4.576,34.22336,382.23
4.577,34.85586,382.23
4.578,33.16918,382.23
4.579,34.22336,382.23
4.58,34.01252,382.23
4.58,34.22336,382.23
-203.159,34.01252,382.23
4.582,34.22336,382.23
4.583,34.01252,382.23
4.584,33.59085,382.23
4.586,33.59085,382.23
4.587,33.16918,382.23
4.588,33.380016,382.23
4.589,33.380016,382.23
4.59,33.380016,382.23
4.591,32.958347,382.23
4.592,33.16918,382.23
4.592,33.380016,382.23
4.593,33.16918,382.23
4.594,33.16918,382.23
4.595,33.16918,382.23
4.596,33.16918,382.23
4.597,33.16918,382.23
4.598,33.380016,382.23
4.599,32.958347,382.23
4.6,33.16918,382.23
4.601,32.958347,382.23
4.602,32.74751,382.23
4.602,32.74751,382.23
4.603,32.74751,382.23
4.604,32.74751,382.23
4.605,32.958347,382.23
4.606,33.16918,382.23
4.607,33.16918,382.23
4.608,33.16918,382.23
4.609,32.958347,382.23
4.61,33.16918,382.23
4.611,33.16918,382.23
4.612,32.958347,382.23
4.613,32.74751,382.23
4.613,32.74751,382.23
-203.159,32.53668,382.23
4.615,32.32584,382.23
4.616,32.74751,382.23
4.617,32.958347,382.23
4.618,32.958347,382.23
4.619,32.74751,382.23
4.62,32.74751,382.23
4.621,32.53668,382.23
4.622,32.74751,382.23
4.623,32.958347,382.23
4.623,32.74751,382.23
4.624,32.74751,382.23
4.625,33.16918,382.23
4.626,32.53668,382.23
4.627,32.74751,382.23
4.629,32.74751,382.23
4.63,32.74751,382.23
4.631,32.958347,382.23
4.632,32.958347,382.23
4.633,32.958347,382.23
4.634,32.74751,382.23
4.635,32.53668,382.23
4.635,32.958347,382.23
4.636,33.16918,382.23
4.637,33.380016,382.23
4.638,32.958347,382.23
4.639,32.74751,382.23
4.64,32.74751,382.23
4.641,32.958347,382.23
4.642,32.958347,382.23
4.643,32.74751,382.23
4.644,32.53668,382.23
4.645,32.53668,382.23
4.645,32.74751,382.23
4.646,32.74751,382.23
4.647,32.74751,382.23
4.648,32.74751,382.23
4.649,32.53668,382.23
4.65,32.74751,382.23
4.651,32.32584,382.23
4.652,32.53668,382.23
4.653,32.53668,382.23
4.654,32.115005,382.23
4.655,32.32584,382.23
4.656,32.53668,382.23
4.656,32.32584,382.23
4.657,32.32584,382.23
4.658,32.53668,382.23
4.659,32.53668,382.23
4.66,32.32584,382.23
4.661,32.32584,382.23
4.662,32.53668,382.23
4.663,32.115005,382.23
4.664,32.115005,382.23
4.665,32.32584,382.23
4.666,32.53668,382.23
4.666,32.74751,382.23
4.667,32.32584,382.23
4.668,32.32584,382.23
4.669,32.53668,382.23
4.67,32.32584,382.23
4.672,32.53668,382.23
4.673,32.32584,382.23
4.674,32.32584,382.23
4.675,32.115005,382.23
4.676,32.53668,382.23
4.677,32.53668,382.23
4.678,32.32584,382.23
4.678,32.32584,382.23
4.679,32.32584,382.23
4.68,32.32584,382.23
4.681,32.74751,382.23
4.682,32.115005,382.23
4.683,32.32584,382.23
4.684,31.693335,382.23
4.685,32.115005,382.23
4.686,32.115005,382.23
4.687,32.115005,382.23
4.688,32.115005,382.23
4.688,32.115005,382.23
4.689,31.90417,382.23
4.69,31.90417,382.23
4.691,31.90417,382.23
4.692,31.482498,382.23
4.693,31.693335,382.23
4.694,31.482498,382.23
4.695,31.271664,382.23
4.696,31.693335,382.23
4.697,31.693335,382.23
4.698,31.060827,382.23
4.699,31.482498,382.23
4.699,31.271664,382.23
4.7,31.90417,382.23
4.701,31.482498,382.23
4.702,31.482498,382.23
4.703,31.482498,382.23
4.704,31.482498,382.23
4.705,31.693335,382.23
4.706,31.693335,382.23
4.707,31.693335,382.23
4.708,31.482498,382.23
4.709,31.271664,382.23
4.709,31.482498,382.23
4.71,31.693335,382.23
4.711,31.90417,382.23
4.712,31.482498,382.23
4.714,31.271664,382.23
4.715,31.271664,382.23
4.716,31.271664,382.23
4.717,31.271664,382.23
4.718,31.271664,382.23
4.719,31.060827,382.23
4.72,31.271664,382.23
4.721,31.271664,382.23
4.721,30.849993,382.23
4.722,31.060827,382.23
4.723,31.271664,382.23
4.724,31.271664,382.23
4.725,31.482498,382.23
4.726,31.271664,382.23
4.727,30.849993,382.23
4.728,31.271664,382.23
4.729,30.849993,382.23
4.73,30.849993,382.23
4.731,31.271664,382.23
4.731,31.482498,382.23
4.732,31.482498,382.23
4.733,31.482498,382.23
4.734,31.060827,382.23
4.735,31.482498,382.23
4.736,31.271664,382.23
4.737,31.271664,382.23
4.738,30.849993,382.23
4.739,31.060827,382.23
4.74,31.060827,382.23
4.741,31.482498,382.23
4.742,31.060827,382.23
4.742,31.271664,382.23
4.743,30.639158,382.23
4.744,31.060827,382.23
4.745,31.482498,382.23
4.746,31.271664,382.23
4.747,31.060827,382.23
4.748,30.849993,382.23
4.749,31.060827,382.23
4.75,31.060827,382.23
4.751,30.428322,382.23
4.752,30.639158,382.23
4.752,30.639158,382.23
4.753,30.849993,382.23
4.754,30.849993,382.23
4.755,31.060827,382.23
4.757,30.849993,382.23
4.758,30.639158,382.23
4.759,30.849993,382.23
4.76,30.849993,382.23
4.761,30.639158,382.23
4.762,30.849993,382.23
4.763,30.639158,382.23
4.764,30.639158,382.23
4.764,30.639158,382.23
4.765,30.639158,382.23
-203.159,31.060827,382.23
4.767,30.849993,382.23
4.768,30.428322,382.23
4.769,30.428322,382.23
4.77,30.849993,382.23
4.771,30.639158,382.23
4.772,30.849993,382.23
4.773,30.428322,382.23
4.774,30.639158,382.23
4.774,30.639158,382.23
4.775,30.639158,382.23
4.776,30.639158,382.23
4.777,30.639158,382.23
4.778,30.849993,382.23
4.779,31.271664,382.23
4.78,31.060827,382.23
4.781,30.849993,382.23
4.782,30.639158,382.23
4.783,30.428322,382.23
4.784,30.428322,382.23
4.785,30.639158,382.23
4.785,30.428322,382.23
4.786,30.428322,382.23
4.787,30.849993,382.23
4.788,30.639158,382.23
4.789,31.060827,382.23
4.79,30.428322,382.23
4.791,30.217487,382.23
4.792,29.795816,382.23
4.793,30.428322,382.23
4.794,30.428322,382.23
4.795,30.639158,382.23
4.795,30.428322,382.23
4.796,30.428322,382.23
4.797,30.217487,382.23
4.798,30.006653,382.23
4.8,30.006653,382.23
4.801,30.428322,382.23
4.802,30.639158,382.23
4.803,30.428322,382.23
4.804,30.428322,382.23
4.805,30.217487,382.23
4.806,30.006653,382.23
4.807,29.795816,382.23
4.807,30.006653,382.23
4.808,30.006653,382.23
4.809,30.006653,382.23
4.81,29.795816,382.23
4.811,30.217487,382.23
4.812,30.217487,382.23
4.813,30.217487,382.23
4.814,29.374147,382.23
4.815,30.006653,382.23
4.816,30.006653,382.23
4.817,30.006653,382.23
4.817,29.795816,382.23
4.818,29.795816,382.23
-203.159,30.006653,382.23
4.82,30.006653,382.23
4.821,30.006653,382.23
4.822,30.006653,382.23
4.823,29.584982,382.23
4.824,29.795816,382.23
4.825,30.006653,382.23
4.826,29.795816,382.23
4.827,29.795816,382.23
4.828,30.006653,382.23
4.828,30.006653,382.23
4.829,30.006653,382.23
4.83,30.217487,382.23
4.831,30.217487,382.23
4.832,30.217487,382.23
4.833,30.428322,382.23
4.834,29.795816,382.23
4.835,30.006653,382.23
4.836,30.217487,382.23
4.837,29.584982,382.23
4.838,29.795816,382.23
4.838,29.795816,382.23
4.839,29.584982,382.23
4.84,29.584982,382.23
4.842,29.795816,382.23
4.843,29.795816,382.23
4.844,29.795816,382.23
4.845,29.584982,382.23
4.846,29.584982,382.23
4.847,29.163311,382.23
4.848,29.584982,382.23
4.849,29.584982,382.23
4.85,29.374147,382.23
4.85,29.795816,382.23
4.851,29.795816,382.23
4.852,29.795816,382.23
4.853,29.795816,382.23
4.854,29.584982,382.23
4.855,29.795816,382.23
4.856,29.584982,382.23
4.857,30.217487,382.23
4.858,29.584982,382.23
4.859,29.795816,382.23
4.86,29.163311,382.23
4.86,29.374147,382.23
4.861,29.374147,382.23
4.862,29.795816,382.23
4.863,29.795816,382.23
4.864,29.374147,382.23
4.865,29.374147,382.23
4.866,29.584982,382.23
4.867,29.584982,382.23
4.868,29.795816,382.23
4.869,29.584982,382.23
4.87,28.952477,382.23
4.871,29.374147,382.23
4.871,29.374147,382.23
4.872,29.163311,382.23
4.873,29.584982,382.23
4.874,29.584982,382.23
4.875,29.584982,382.23
4.876,29.374147,382.23
4.877,29.374147,382.23
4.878,29.374147,382.23
4.879,29.584982,382.23
4.88,29.795816,382.23
4.881,29.795816,382.23
4.882,29.163311,382.23
4.882,29.374147,382.23
4.883,29.374147,382.23
4.885,29.584982,382.23
4.886,29.163311,382.23
4.887,29.584982,382.23
4.888,29.374147,382.23
4.889,29.584982,382.23
4.89,29.584982,382.23
4.891,29.584982,382.23
4.892,29.163311,382.23
4.893,29.374147,382.23
4.893,29.374147,382.23
4.894,29.163311,382.23
4.895,29.795816,382.23
4.896,29.374147,382.23
4.897,29.163311,382.23
4.898,29.374147,382.23
4.899,29.374147,382.23
4.9,29.584982,382.23
4.901,29.163311,382.23
4.902,29.374147,382.23
4.903,29.795816,382.23
4.904,29.374147,382.23
4.904,29.584982,382.23
-203.159,29.584982,382.23
4.906,29.374147,382.23
4.907,29.374147,382.23
4.908,29.374147,382.23
4.909,29.795816,382.23
4.91,30.006653,382.23
4.911,30.006653,382.23
4.912,29.584982,382.23
4.913,29.584982,382.23
4.914,29.374147,382.23
4.914,29.584982,382.23
4.915,29.374147,382.23
4.916,29.374147,382.23
4.917,29.795816,382.23
4.918,29.584982,382.23
4.919,29.163311,382.23
4.92,29.584982,382.23
4.921,29.374147,382.23
4.922,29.374147,382.23
4.923,29.374147,382.23
4.924,29.374147,382.23
4.925,28.952477,382.23
-203.159,29.163311,382.23
4.926,29.163311,382.23
4.928,29.584982,382.23
4.929,29.163311,382.23
4.93,29.163311,382.23
4.931,29.374147,382.23
4.932,28.952477,382.23
4.933,29.163311,382.23
4.934,28.952477,382.23
4.935,29.374147,382.23
4.936,29.163311,382.23
4.936,29.163311,382.23
4.937,29.163311,382.23
4.938,28.952477,382.23
4.939,29.163311,382.23
4.94,28.952477,382.23
4.941,28.741642,382.23
4.942,29.163311,382.23
4.943,28.952477,382.23
4.944,28.530806,382.23
4.945,28.741642,382.23
4.946,28.741642,382.23
4.947,28.530806,382.23
4.947,29.163311,382.23
4.948,28.741642,382.23
4.949,29.163311,382.23
4.95,28.952477,382.23
4.951,28.952477,382.23
4.952,28.952477,382.23
4.953,29.163311,382.23
4.954,28.952477,382.23
4.955,28.741642,382.23
4.956,28.741642,382.23
4.957,29.163311,382.23
4.957,28.741642,382.23
4.958,28.952477,382.23
4.959,28.530806,382.23
4.96,28.741642,382.23
4.961,28.952477,382.23
4.962,28.952477,382.23
4.963,28.741642,382.23
4.964,29.163311,382.23
4.965,28.952477,382.23
4.966,28.741642,382.23
4.967,28.952477,382.23
4.968,28.952477,382.23
4.968,28.741642,382.23
4.97,28.530806,382.23
4.971,28.319971,382.23
4.972,28.530806,382.23
4.973,28.952477,382.23
4.974,28.741642,382.23
4.975,28.530806,382.23
4.976,28.319971,382.23
4.977,28.530806,382.23
4.978,28.741642,382.23
4.979,28.319971,382.23
4.979,28.109135,382.23
4.98,28.109135,382.23
4.981,28.319971,382.23
4.982,28.109135,382.23
4.983,28.319971,382.23
4.984,28.109135,382.23
4.985,28.109135,382.23
4.986,27.8983,382.23
4.987,28.109135,382.23
4.988,28.109135,382.23
4.989,28.319971,382.23
4.99,28.319971,382.23
4.99,27.8983,382.23
-203.159,28.319971,382.23
4.992,28.319971,382.23
4.993,28.319971,382.23
4.994,28.319971,382.23
4.995,28.109135,382.23
4.996,28.109135,382.23
4.997,28.741642,382.23
4.998,28.319971,382.23
4.999,28.109135,382.23
5.0,28.109135,382.23
5.0,28.319971,382.23
5.001,28.319971,382.23
5.002,28.319971,382.23
5.003,28.530806,382.23
5.004,28.741642,382.23
5.005,28.530806,382.23
5.006,27.8983,382.23
5.007,28.109135,382.23
5.008,28.109135,382.23
5.009,28.109135,382.23
5.01,28.319971,382.23
5.011,27.8983,382.23
5.011,28.319971,382.23
5.013,27.8983,382.23
5.014,28.109135,382.23
5.015,28.319971,382.23
5.016,28.109135,382.23
5.017,27.8983,382.23
5.018,27.8983,382.23
5.019,28.109135,382.23
5.02,28.319971,382.23
5.021,28.109135,382.23
5.022,27.8983,382.23
5.022,28.109135,382.23
5.023,28.109135,382.23
5.024,27.687466,382.23
5.025,28.109135,382.23
5.026,27.687466,382.23
5.027,28.319971,382.23
5.028,28.319971,382.23
5.029,28.530806,382.23
5.03,28.109135,382.23
5.031,28.109135,382.23
5.032,28.109135,382.23
5.033,28.109135,382.23
5.033,27.8983,382.23
5.034,28.109135,382.23
5.035,27.8983,382.23
5.036,28.319971,382.23
5.037,28.109135,382.23
5.038,28.319971,382.23
5.039,27.8983,382.23
5.04,28.109135,382.23
5.041,27.8983,382.23
5.042,27.687466,382.23
5.043,27.8983,382.23
5.043,27.8983,382.23
5.044,28.319971,382.23
5.045,27.8983,382.23
5.046,28.109135,382.23
5.047,28.109135,382.23
5.048,27.687466,382.23
5.049,27.8983,382.23
5.05,27.687466,382.23
5.051,28.109135,382.23
5.052,28.109135,382.23
5.053,28.109135,382.23
5.054,27.8983,382.23
5.054,28.109135,382.23
5.056,27.47663,382.23
5.057,27.8983,382.23
5.058,27.8983,382.23
5.059,28.319971,382.23
5.06,28.530806,382.23
5.061,28.109135,382.23
5.062,28.319971,382.23
5.063,28.319971,382.23
5.064,27.687466,382.23
5.065,28.109135,382.23
5.065,28.109135,382.23
5.066,28.109135,382.23
5.067,27.687466,382.23
5.068,27.8983,382.23
5.069,27.687466,382.23
5.07,27.687466,382.23
5.071,27.687466,382.23
5.072,27.687466,382.23
5.073,27.687466,382.23
5.074,27.8983,382.23
5.075,27.687466,382.23
5.076,27.47663,382.23
5.076,27.8983,382.23
-203.159,27.265795,382.23
5.078,27.687466,382.23
5.079,26.844124,382.23
5.08,27.265795,382.23
5.081,27.47663,382.23
5.082,27.265795,382.23
5.083,26.844124,382.23
5.084,27.265795,382.23
5.085,27.05496,382.23
5.086,26.844124,382.23
5.086,26.844124,382.23
5.087,26.63329,382.23
5.088,27.05496,382.23
5.089,27.05496,382.23
5.09,27.265795,382.23
5.091,27.05496,382.23
5.092,27.05496,382.23
5.093,27.05496,382.23
5.094,26.844124,382.23
5.095,27.05496,382.23
5.096,27.47663,382.23
5.098,27.05496,382.23
5.098,27.05496,382.23
5.099,27.265795,382.23
5.1,27.265795,382.23
5.101,27.47663,382.23
5.102,27.05496,382.23
5.103,26.844124,382.23
5.104,27.265795,382.23
5.105,26.844124,382.23
5.106,27.05496,382.23
5.107,27.05496,382.23
5.108,27.265795,382.23
5.108,26.844124,382.23
5.109,26.844124,382.23
5.11,27.05496,382.23
5.111,27.05496,382.23
5.112,26.844124,382.23
5.113,27.265795,382.23
5.114,27.05496,382.23
5.115,27.265795,382.23
5.116,27.265795,382.23
5.117,27.265795,382.23
5.118,27.05496,382.23
5.119,26.844124,382.23
5.119,27.05496,382.23
5.12,26.844124,382.23
5.121,26.844124,382.23
5.122,27.05496,382.23
5.123,26.844124,382.23
5.124,27.05496,382.23
5.125,26.63329,382.23
5.126,27.05496,382.23
5.127,27.05496,382.23
5.128,27.265795,382.23
5.129,27.05496,382.23
5.129,26.844124,382.23
5.13,27.265795,382.23
5.131,27.265795,382.23
5.132,27.47663,382.23
5.133,27.8983,382.23
5.134,27.8983,382.23
5.135,28.530806,382.23
5.136,27.687466,382.23
5.137,27.47663,382.23
5.138,27.47663,382.23
5.139,27.05496,382.23
5.141,27.05496,382.23
5.141,26.63329,382.23
5.142,26.844124,382.23
5.143,27.265795,382.23
5.144,26.63329,382.23
5.145,26.63329,382.23
5.146,26.844124,382.23
5.147,27.265795,382.23
5.148,27.05496,382.23
5.149,27.265795,382.23
5.15,27.05496,382.23
5.151,27.05496,382.23
5.151,26.844124,382.23
5.152,26.844124,382.23
5.153,26.844124,382.23
5.154,27.05496,382.23
5.155,27.05496,382.23
5.156,27.05496,382.23
5.157,26.63329,382.23
5.158,27.05496,382.23
5.159,27.05496,382.23
5.16,26.63329,382.23
5.161,27.05496,382.23
5.162,26.63329,382.23
5.162,26.844124,382.23
5.163,26.844124,382.23
5.164,27.05496,382.23
5.165,26.63329,382.23
5.166,26.844124,382.23
5.167,26.63329,382.23
5.168,26.844124,382.23
5.169,26.63329,382.23
5.17,26.844124,382.23
5.171,26.422455,382.23
5.172,26.63329,382.23
5.172,26.63329,382.23
5.173,26.844124,382.23
5.174,26.422455,382.23
5.175,26.844124,382.23
5.176,26.211618,382.23
5.177,26.211618,382.23
5.178,26.422455,382.23
5.179,26.422455,382.23
5.18,26.63329,382.23
5.181,26.211618,382.23
5.182,26.211618,382.23
5.184,26.63329,382.23
5.184,26.422455,382.23
5.185,26.211618,382.23
5.186,26.63329,382.23
5.187,26.422455,382.23
5.188,26.422455,382.23
5.189,26.422455,382.23
5.19,26.211618,382.23
5.191,26.63329,382.23
5.192,26.422455,382.23
5.193,26.211618,382.23
5.194,26.211618,382.23
5.194,26.211618,382.23
5.195,26.422455,382.23
5.196,26.63329,382.23
5.197,26.000784,382.23
5.198,26.211618,382.23
5.199,26.63329,382.23
5.2,26.422455,382.23
5.201,26.211618,382.23
5.202,26.211618,382.23
5.203,25.78995,382.23
5.204,26.000784,382.23
5.205,26.000784,382.23
5.205,26.211618,382.23
5.206,26.422455,382.23
5.207,26.211618,382.23
5.208,26.211618,382.23
5.209,26.211618,382.23
5.21,26.000784,382.23
5.211,26.422455,382.23
5.212,26.000784,382.23
5.213,26.000784,382.23
5.214,26.211618,382.23
5.215,26.211618,382.23
5.215,26.211618,382.23
5.216,26.000784,382.23
5.217,26.000784,382.23
5.218,25.78995,382.23
5.219,25.78995,382.23
5.22,25.78995,382.23
5.221,25.368279,382.23
5.222,25.579113,382.23
5.223,26.000784,382.23
5.224,25.78995,382.23
5.226,25.78995,382.23
5.227,25.579113,382.23
5.227,25.78995,382.23
5.228,25.579113,382.23
-203.159,25.78995,382.23
5.23,25.579113,382.23
5.231,25.579113,382.23
5.232,25.78995,382.23
5.233,25.579113,382.23
5.234,25.157442,382.23
5.235,25.579113,382.23
5.236,25.78995,382.23
5.237,25.78995,382.23
5.237,25.368279,382.23
5.238,25.157442,382.23
5.239,25.579113,382.23
5.24,25.368279,382.23
5.241,25.579113,382.23
5.242,25.579113,382.23
5.243,25.78995,382.23
5.244,25.157442,382.23
5.245,25.368279,382.23
5.246,25.579113,382.23
5.247,25.157442,382.23
5.248,25.157442,382.23
5.248,25.368279,382.23
5.249,25.368279,382.23
5.25,25.157442,382.23
5.251,25.579113,382.23
5.252,25.579113,382.23
5.253,25.157442,382.23
5.254,25.78995,382.23
5.255,25.368279,382.23
5.256,25.368279,382.23
5.257,25.368279,382.23
5.258,25.368279,382.23
5.258,25.368279,382.23
5.259,25.368279,382.23
5.26,25.579113,382.23
5.261,25.368279,382.23
5.262,25.579113,382.23
5.263,25.579113,382.23
5.264,25.157442,382.23
5.265,25.157442,382.23
5.266,25.368279,382.23
5.267,25.78995,382.23
5.269,25.78995,382.23
5.27,25.368279,382.23
5.27,25.368279,382.23
5.271,25.368279,382.23
5.272,25.368279,382.23
5.273,25.579113,382.23
5.274,25.579113,382.23
5.275,25.579113,382.23
5.276,25.579113,382.23
5.277,25.157442,382.23
5.278,25.368279,382.23
5.279,25.157442,382.23
5.28,25.368279,382.23
5.28,25.157442,382.23
5.281,25.157442,382.23
-203.159,24.946608,382.23
5.283,25.157442,382.23
5.284,25.157442,382.23
5.285,25.157442,382.23
5.286,25.368279,382.23
5.287,25.157442,382.23
5.288,25.157442,382.23
5.289,25.157442,382.23
5.29,25.157442,382.23
5.291,25.368279,382.23
5.291,25.157442,382.23
5.292,25.579113,382.23
5.293,25.579113,382.23
5.294,25.157442,382.23
5.295,25.157442,382.23
5.296,25.157442,382.23
5.297,25.157442,382.23
5.298,24.946608,382.23
5.299,25.157442,382.23
5.3,24.946608,382.23
5.301,24.735773,382.23
5.301,24.735773,382.23
-203.159,25.157442,382.23
5.303,24.735773,382.23
5.304,24.735773,382.23
5.305,24.524937,382.23
5.306,24.735773,382.23
5.307,24.735773,382.23
5.308,25.157442,382.23
5.309,25.368279,382.23
5.31,24.946608,382.23
5.312,24.946608,382.23
5.313,24.946608,382.23
5.313,24.946608,382.23
5.314,24.946608,382.23
5.315,25.157442,382.23
5.316,24.946608,382.23
5.317,24.946608,382.23
5.318,24.735773,382.23
5.319,24.735773,382.23
5.32,24.946608,382.23
5.321,24.946608,382.23
5.322,25.157442,382.23
5.323,24.946608,382.23
5.323,24.735773,382.23
5.324,24.735773,382.23
5.325,24.735773,382.23
5.326,24.735773,382.23
5.327,24.524937,382.23
5.328,24.946608,382.23
5.329,25.157442,382.23
5.33,24.735773,382.23
5.331,24.314102,382.23
5.332,24.524937,382.23
5.333,24.735773,382.23
5.334,24.735773,382.23
5.334,24.735773,382.23
5.335,24.735773,382.23
5.336,24.524937,382.23
5.337,24.946608,382.23
5.338,24.524937,382.23
5.339,24.735773,382.23
5.34,24.314102,382.23
5.341,24.314102,382.23
5.342,24.524937,382.23
5.343,24.314102,382.23
5.344,24.524937,382.23
5.344,24.735773,382.23
5.345,24.524937,382.23
5.346,24.524937,382.23
5.347,23.892431,382.23
5.348,24.314102,382.23
5.349,23.892431,382.23
5.35,24.314102,382.23
5.351,24.314102,382.23
5.352,24.314102,382.23
5.354,24.103268,382.23
5.355,24.735773,382.23
5.356,24.314102,382.23
5.356,24.314102,382.23
5.357,24.103268,382.23
5.358,24.103268,382.23
5.359,24.103268,382.23
5.36,23.681597,382.23
5.361,24.103268,382.23
5.362,24.103268,382.23
5.363,24.314102,382.23
5.364,24.103268,382.23
5.365,24.314102,382.23
5.366,24.103268,382.23
5.366,24.103268,382.23
5.367,23.681597,382.23
5.368,23.681597,382.23
5.369,23.892431,382.23
5.37,24.103268,382.23
5.371,24.735773,382.23
5.372,24.314102,382.23
5.373,24.103268,382.23
5.374,23.892431,382.23
5.375,23.892431,382.23
5.376,24.103268,382.23
5.377,24.103268,382.23
5.377,24.103268,382.23
5.378,23.681597,382.23
5.379,23.681597,382.23
5.38,23.892431,382.23
5.381,23.681597,382.23
5.382,23.470762,382.23
5.383,24.103268,382.23
5.384,23.681597,382.23
5.385,24.103268,382.23
5.386,23.892431,382.23
5.387,23.259926,382.23
5.387,23.681597,382.23
5.388,23.892431,382.23
5.389,23.470762,382.23
5.39,23.681597,382.23
5.391,23.892431,382.23
5.392,23.892431,382.23
5.393,23.470762,382.23
5.394,23.470762,382.23
5.395,23.470762,382.23
5.397,23.259926,382.23
5.398,23.470762,382.23
5.399,23.681597,382.23
5.399,23.049091,382.23
5.4,23.259926,382.23
5.401,23.259926,382.23
5.402,23.681597,382.23
5.403,23.470762,382.23
5.404,23.470762,382.23
5.405,23.259926,382.23
5.406,23.470762,382.23
5.407,23.470762,382.23
5.408,23.470762,382.23
5.409,23.470762,382.23
5.409,23.259926,382.23
5.41,23.259926,382.23
5.411,23.470762,382.23
5.412,23.470762,382.23
5.413,23.470762,382.23
5.414,23.259926,382.23
5.415,23.470762,382.23
5.416,23.470762,382.23
5.417,23.259926,382.23
5.418,23.892431,382.23
5.419,23.681597,382.23
5.42,23.470762,382.23
5.42,23.470762,382.23
5.421,23.470762,382.23
5.422,23.470762,382.23
5.423,23.470762,382.23
5.424,23.470762,382.23
5.425,23.259926,382.23
5.426,23.259926,382.23
5.427,23.259926,382.23
5.428,23.259926,382.23
5.429,23.259926,382.23
5.43,23.259926,382.23
5.43,23.470762,382.23
5.431,23.681597,382.23
5.432,23.259926,382.23
5.433,23.259926,382.23
5.434,22.62742,382.23
5.435,23.259926,382.23
5.436,23.259926,382.23
5.437,23.259926,382.23
5.438,23.049091,382.23
5.44,22.838257,382.23
5.441,22.838257,382.23
5.442,22.62742,382.23
5.442,23.049091,382.23
5.443,23.049091,382.23
5.444,22.838257,382.23
5.445,22.62742,382.23
5.446,23.049091,382.23
5.447,22.838257,382.23
5.448,22.416586,382.23
5.449,22.416586,382.23
5.45,22.62742,382.23
5.451,22.416586,382.23
5.452,22.62742,382.23
5.452,22.416586,382.23
5.453,22.416586,382.23
5.454,22.62742,382.23
5.455,22.62742,382.23
5.456,22.416586,382.23
5.457,22.62742,382.23
5.458,22.20575,382.23
5.459,22.20575,382.23
5.46,21.994915,382.23
5.461,21.78408,382.23
5.462,21.78408,382.23
5.463,22.20575,382.23
5.463,22.20575,382.23
5.464,21.994915,382.23
5.465,22.20575,382.23
5.466,22.416586,382.23
5.467,22.20575,382.23
5.468,21.994915,382.23
5.469,21.994915,382.23
5.47,22.20575,382.23
5.471,21.994915,382.23
5.472,21.78408,382.23
5.473,22.20575,382.23
5.473,21.994915,382.23
5.474,22.20575,382.23
5.475,21.78408,382.23
5.476,21.78408,382.23
5.477,21.994915,382.23
5.478,21.78408,382.23
5.479,21.994915,382.23
5.48,21.994915,382.23
5.482,21.78408,382.23
5.483,21.994915,382.23
5.484,21.573244,382.23
5.485,21.573244,382.23
5.485,21.994915,382.23
5.486,21.994915,382.23
5.487,21.994915,382.23
5.488,21.36241,382.23
5.489,21.151575,382.23
5.49,21.573244,382.23
5.491,21.573244,382.23
5.492,21.573244,382.23
5.493,21.573244,382.23
5.494,21.78408,382.23
5.495,21.151575,382.23
5.495,21.36241,382.23
5.496,21.78408,382.23
5.497,21.573244,382.23
5.498,21.36241,382.23
5.499,21.36241,382.23
5.5,21.573244,382.23
5.501,21.573244,382.23
5.502,21.36241,382.23
5.503,21.36241,382.23
5.504,20.940739,382.23
5.505,21.151575,382.23
5.506,21.151575,382.23
5.506,20.940739,382.23
5.507,21.36241,382.23
5.508,20.729904,382.23
5.509,21.36241,382.23
5.51,21.573244,382.23
5.511,21.36241,382.23
5.512,21.36241,382.23
5.513,20.940739,382.23
5.514,20.940739,382.23
5.515,20.729904,382.23
5.516,21.36241,382.23
5.516,21.36241,382.23
5.517,20.940739,382.23
5.518,21.151575,382.23
5.519,20.940739,382.23
